"setting","anchor","rep","arm","n_disc","n_repl","n_prog","replic_rate","auc_anchor_product","auc_anchor_absdiff","auc_level_concord","auc_range_concord","auc_coexpr_preserv","auc_effsize"
"breast: METABRIC->BRCA","ER",3,"null_ratematched",1066,622,296,0.158783783783784,0.674015209775271,0.465948901990942,0.416559856447065,0.498590105101256,0.661283431598735,0.701871315047424
"breast: METABRIC->BRCA","ER",4,"null",1066,622,302,0.539735099337748,0.667034470583043,0.555766429800944,0.489429315443351,0.578584984772918,0.658163040120051,0.611863883126628
"breast: METABRIC->BRCA","ER",4,"real",1066,622,302,0.175496688741722,0.601348791391983,0.401151776918997,0.40501629158142,0.463211335909676,0.514662423278018,0.613018110176555
"breast: METABRIC->BRCA","ER",4,"null_ratematched",1066,622,302,0.175496688741722,0.710085625520952,0.602940062135334,0.508221565507312,0.628324619231644,0.71660225808896,0.638629991664772
"breast: METABRIC->BRCA","ER",5,"null",1066,622,443,0.36117381489842,0.681272084805654,0.484562720848057,0.514443462897527,0.516166077738516,0.607641342756184,0.662301236749117
"breast: METABRIC->BRCA","ER",5,"real",1066,622,443,0.155756207674944,0.567038673176781,0.455242966751918,0.367085173990545,0.424397426954972,0.478299620243354,0.558823529411765
"breast: METABRIC->BRCA","ER",5,"null_ratematched",1066,622,443,0.155756207674944,0.662365341393474,0.41637603658064,0.559288537549407,0.543827016972797,0.595287917538557,0.622374641556227
"breast: METABRIC->BRCA","ER",6,"null",1066,622,235,0.659574468085106,0.765564516129032,0.536532258064516,0.435483870967742,0.593548387096774,0.732822580645161,0.638629032258065
"breast: METABRIC->BRCA","ER",6,"real",1066,622,235,0.191489361702128,0.558245614035088,0.419415204678363,0.452163742690058,0.377543859649123,0.501754385964912,0.534619883040936
"breast: METABRIC->BRCA","ER",6,"null_ratematched",1066,622,235,0.191489361702128,0.753099415204678,0.599181286549708,0.452748538011696,0.636959064327485,0.718011695906433,0.753801169590643
"breast: METABRIC->BRCA","ER",7,"null",1066,622,353,0.487252124645892,0.692278041886162,0.570506231530258,0.441988950276243,0.532024926121033,0.673422844661442,0.663625851214185
"breast: METABRIC->BRCA","ER",7,"real",1066,622,353,0.161473087818697,0.590623518255097,0.401256519677572,0.386439070649597,0.354551920341394,0.530583214793741,0.579836415362731
"breast: METABRIC->BRCA","ER",7,"null_ratematched",1066,622,353,0.161473087818697,0.698731626363205,0.592816500711238,0.469476055002371,0.451932195353248,0.689722617354196,0.765706495969654
"breast: METABRIC->BRCA","ER",8,"null",1066,622,353,0.526912181303116,0.742064258579615,0.573787908054858,0.492370098512652,0.5492241323804,0.715794218015582,0.672944433713219
"breast: METABRIC->BRCA","ER",8,"real",1066,622,353,0.175637393767705,0.573772309056646,0.424842035251081,0.382551823522891,0.411484314377563,0.483870967741935,0.55520452278018
"breast: METABRIC->BRCA","ER",8,"null_ratematched",1066,622,353,0.175637393767705,0.713501829065514,0.50881277020286,0.556035916195544,0.520951114067177,0.720707238665336,0.670324797694269
